Elements,FileID,Loadcase,Step,Element Stresses (1D):CBAR/CBEAM Axial Stress
40,3,1,0,-77.67
41,3,1,0,-70.60
42,3,1,0,-79.68
43,3,1,0,-81.30
44,3,1,0,-85.24
45,3,1,0,-85.16
46,3,1,0,-81.42
47,3,1,0,-83.91
48,3,1,0,-85.17
49,3,1,0,-69.43
50,3,1,0,-83.08
51,3,1,0,-96.84
52,3,1,0,-82.98
53,3,1,0,-82.99
54,3,1,0,-82.98
55,3,1,0,-96.84
56,3,1,0,-83.08
57,3,1,0,-69.43
58,3,1,0,-85.17
59,3,1,0,-83.91
60,3,1,0,-81.42
61,3,1,0,-85.16
62,3,1,0,-85.24
63,3,1,0,-81.30
64,3,1,0,-79.68
65,3,1,0,-70.60
66,3,1,0,-77.67
40,3,2,0,-56.22
41,3,2,0,-59.04
42,3,2,0,-57.55
43,3,2,0,-51.27
44,3,2,0,-53.96
45,3,2,0,-53.83
46,3,2,0,-50.95
47,3,2,0,-52.37
48,3,2,0,-53.43
49,3,2,0,-43.22
50,3,2,0,-52.26
51,3,2,0,-61.37
52,3,2,0,-52.25
53,3,2,0,-52.29
54,3,2,0,-52.25
55,3,2,0,-61.37
56,3,2,0,-52.26
57,3,2,0,-43.22
58,3,2,0,-53.43
59,3,2,0,-52.37
60,3,2,0,-50.95
61,3,2,0,-53.83
62,3,2,0,-53.96
63,3,2,0,-51.27
64,3,2,0,-57.55
65,3,2,0,-59.04
66,3,2,0,-56.22
40,3,3,0,-33.31
41,3,3,0,-35.30
42,3,3,0,-45.37
43,3,3,0,-30.03
44,3,3,0,-42.62
45,3,3,0,-53.20
46,3,3,0,-30.40
47,3,3,0,-41.95
48,3,3,0,-52.89
49,3,3,0,40.68
50,3,3,0,-41.54
51,3,3,0,-123.81
52,3,3,0,-41.49
53,3,3,0,-41.49
54,3,3,0,-41.49
55,3,3,0,-123.81
56,3,3,0,-41.54
57,3,3,0,40.68
58,3,3,0,-52.89
59,3,3,0,-41.95
60,3,3,0,-30.40
61,3,3,0,-53.20
62,3,3,0,-42.62
63,3,3,0,-30.03
64,3,3,0,-45.37
65,3,3,0,-35.30
66,3,3,0,-33.31
